structure,use_rank,path_compression,n,m,workload,trial,runtime,pointer_updates
tree,False,True,50000,500000,adversarial,3,0.48757800500015946,49999
tree,True,True,50000,500000,adversarial,1,0.4978128719999404,49999
tree,True,True,50000,500000,adversarial,2,0.4575472690000879,49999
tree,True,True,50000,500000,adversarial,3,0.7261026599999241,49999
list,False,False,50000,500000,batched_finds,1,0.6666794430000209,101328
list,False,False,50000,500000,batched_finds,2,0.5553596800000378,102306
list,False,False,50000,500000,batched_finds,3,0.7259196590000556,102001
tree,False,True,50000,500000,batched_finds,1,0.8734087259999797,85380
tree,False,True,50000,500000,batched_finds,2,0.6595742249999148,85114
tree,False,True,50000,500000,batched_finds,3,1.2573033549999764,85818
tree,True,True,50000,500000,batched_finds,1,0.523759469000197,86437
tree,True,True,50000,500000,batched_finds,2,0.6464770200000203,86304
tree,True,True,50000,500000,batched_finds,3,0.7656759890001013,86699
list,False,False,50000,500000,gnp,1,0.4465174670001488,100784
list,False,False,50000,500000,gnp,2,0.4498353810001845,102784
list,False,False,50000,500000,gnp,3,0.5603161840001576,102403
tree,False,True,50000,500000,gnp,1,0.5634630219999508,85768
tree,False,True,50000,500000,gnp,2,0.9079722009998932,85582
tree,False,True,50000,500000,gnp,3,1.0929826079998293,86083
tree,True,True,50000,500000,gnp,1,1.0300150099999428,86578
tree,True,True,50000,500000,gnp,2,0.5765219929999148,86411
tree,True,True,50000,500000,gnp,3,0.7739795400000276,86914
list,False,False,100000,100000,random_50_50,1,0.22501133199989454,77848
list,False,False,100000,100000,random_50_50,2,0.232415766000031,73312
list,False,False,100000,100000,random_50_50,3,0.27392010900007335,76782
tree,False,True,100000,100000,random_50_50,1,0.1799701699999332,60530
tree,False,True,100000,100000,random_50_50,2,0.17245877199979986,60809
tree,False,True,100000,100000,random_50_50,3,0.1674465239998426,60288
tree,True,True,100000,100000,random_50_50,1,0.18205527100008112,62301
tree,True,True,100000,100000,random_50_50,2,0.147056424000084,62286
tree,True,True,100000,100000,random_50_50,3,0.21206892999998672,62173
list,False,False,100000,100000,adversarial,1,0.16453264500000842,99999
list,False,False,100000,100000,adversarial,2,0.1603385519999847,99999
list,False,False,100000,100000,adversarial,3,0.22750457500001176,99999
tree,False,True,100000,100000,adversarial,1,0.43754133300012654,99999
tree,False,True,100000,100000,adversarial,2,0.2720746909999434,99999
tree,False,True,100000,100000,adversarial,3,0.2791036040000563,99999
tree,True,True,100000,100000,adversarial,1,0.21999661100016965,99999
tree,True,True,100000,100000,adversarial,2,0.19825374900005954,99999
tree,True,True,100000,100000,adversarial,3,0.2813950479999221,99999
list,False,False,100000,100000,batched_finds,1,0.3679700860000139,184091
list,False,False,100000,100000,batched_finds,2,0.5050092180001684,184160
list,False,False,100000,100000,batched_finds,3,0.5248552579998886,182982
tree,False,True,100000,100000,batched_finds,1,0.38949592700009816,141544
tree,False,True,100000,100000,batched_finds,2,0.5685438250000061,141109
tree,False,True,100000,100000,batched_finds,3,0.534631840999964,140261
tree,True,True,100000,100000,batched_finds,1,0.42152403999989474,142310
tree,True,True,100000,100000,batched_finds,2,0.4859166879998611,142252
tree,True,True,100000,100000,batched_finds,3,0.27901855300001444,142116
list,False,False,100000,100000,gnp,1,0.630461207000053,183103
list,False,False,100000,100000,gnp,2,0.6201379700000871,184242
list,False,False,100000,100000,gnp,3,0.3966301460000068,181726
tree,False,True,100000,100000,gnp,1,0.32717076700009784,140679
tree,False,True,100000,100000,gnp,2,0.4884816450000926,140769
tree,False,True,100000,100000,gnp,3,0.30662793500005137,140844
tree,True,True,100000,100000,gnp,1,0.2965219430000161,142292
tree,True,True,100000,100000,gnp,2,0.31552854300002764,142451
tree,True,True,100000,100000,gnp,3,0.3068541360000836,143081
list,False,False,100000,500000,random_50_50,1,0.8339472010000009,202298
list,False,False,100000,500000,random_50_50,2,0.6002181669998663,201613
list,False,False,100000,500000,random_50_50,3,0.9507988679999926,204692
tree,False,True,100000,500000,random_50_50,1,0.5362237280000954,170026
